Borough,Neighborhood,Latitude,Longitude
Bronx,Wakefield,-73.84720052054902,40.89470517661
Bronx,Co-op City,-73.82993910812398,40.87429419303012
Bronx,Eastchester,-73.82780644716412,40.887555677350775
Bronx,Fieldston,-73.90564259591682,40.89543742690383
Bronx,Riverdale,-73.9125854610857,40.890834493891305
Bronx,Kingsbridge,-73.90281798724604,40.88168737120521
Manhattan,Marble Hill,-73.91065965862981,40.87655077879964
Bronx,Woodlawn,-73.86731496814176,40.89827261213805
Bronx,Norwood,-73.8793907395681,40.87722415599446
Bronx,Williamsbridge,-73.85744642974207,40.88103887819211
Bronx,Baychester,-73.83579759808117,40.866858107252696
Bronx,Pelham Parkway,-73.85475564017999,40.85741349808865
Bronx,City Island,-73.78648845267413,40.84724670491813
Bronx,Bedford Park,-73.8855121841913,40.870185164975325
Bronx,University Heights,-73.9104159619131,40.85572707719664
Bronx,Morris Heights,-73.91967159119565,40.84789792606271
Bronx,Fordham,-73.89642655981623,40.86099679638654
Bronx,East Tremont,-73.88735617532338,40.84269615786053
Bronx,West Farms,-73.87774474910545,40.83947505672653
Bronx,High  Bridge,-73.9261020935813,40.836623010706056
Bronx,Melrose,-73.90942160757436,40.819754370594936
Bronx,Mott Haven,-73.91609987487575,40.80623874935177
Bronx,Port Morris,-73.91322139386135,40.801663627756206
Bronx,Longwood,-73.8957882009446,40.81509904545822
Bronx,Hunts Point,-73.88331505955291,40.80972987938709
Bronx,Morrisania,-73.90150648943059,40.82359198585534
Bronx,Soundview,-73.86574609554924,40.821012197914015
Bronx,Clason Point,-73.85414416189266,40.80655112003589
Bronx,Throgs Neck,-73.81635002158441,40.81510925804005
Bronx,Country Club,-73.8240992675385,40.844245936947374
Bronx,Parkchester,-73.85600310535783,40.837937822267286
Bronx,Westchester Square,-73.84219407604444,40.8406194964327
Bronx,Van Nest,-73.8662991807561,40.84360847124718
Bronx,Morris Park,-73.85040178030421,40.847549063536334
Bronx,Belmont,-73.88845196134804,40.85727710073895
Bronx,Spuyten Duyvil,-73.91719048210393,40.88139497727086
Bronx,North Riverdale,-73.90453054908927,40.90854282950666
Bronx,Pelham Bay,-73.8320737824047,40.85064140940335
Bronx,Schuylerville,-73.82620275994073,40.82657951686922
Bronx,Edgewater Park,-73.81388514428619,40.821986118163494
Bronx,Castle Hill,-73.84802729582735,40.819014376988314
Bronx,Olinville,-73.86332361652777,40.87137078192371
Bronx,Pelham Gardens,-73.84161194831223,40.86296562477998
Bronx,Concourse,-73.91558941773444,40.83428380733851
Bronx,Unionport,-73.85053524451935,40.82977429787161
Bronx,Edenwald,-73.84808271877168,40.88456130303732
Brooklyn,Bay Ridge,-74.03062069353813,40.625801065010656
Brooklyn,Bensonhurst,-73.99517998380729,40.61100890202044
Brooklyn,Sunset Park,-74.01031618527784,40.64510294925429
Brooklyn,Greenpoint,-73.95424093127393,40.7302009848647
Brooklyn,Gravesend,-73.97347087708445,40.59526001306593
Brooklyn,Brighton Beach,-73.96509448785336,40.57682506566604
Brooklyn,Sheepshead Bay,-73.94318640482979,40.58689012678384
Brooklyn,Manhattan Terrace,-73.95743840559939,40.61443251335098
Brooklyn,Flatbush,-73.95840106533903,40.63632589026677
Brooklyn,Crown Heights,-73.94329119073582,40.67082917695294
Brooklyn,East Flatbush,-73.93610256185836,40.64171776668961
Brooklyn,Kensington,-73.98042110559474,40.642381958003526
Brooklyn,Windsor Terrace,-73.98007340430172,40.65694583575104
Brooklyn,Prospect Heights,-73.9648592426269,40.676822262254724
Brooklyn,Brownsville,-73.91023536176607,40.66394994339755
Brooklyn,Williamsburg,-73.95811529220927,40.70714439344251
Brooklyn,Bushwick,-73.92525797487045,40.69811611017901
Brooklyn,Bedford Stuyvesant,-73.94178488690297,40.687231607720456
Brooklyn,Brooklyn Heights,-73.99378225496424,40.695863722724084
Brooklyn,Cobble Hill,-73.99856139218463,40.687919722485574
Brooklyn,Carroll Gardens,-73.99465372828006,40.680540231076485
Brooklyn,Red Hook,-74.0127589747356,40.676253230250886
Brooklyn,Gowanus,-73.99444087145339,40.673931143187154
Brooklyn,Fort Greene,-73.97290574369092,40.68852726018977
Brooklyn,Park Slope,-73.97705030183924,40.67232052268197
Brooklyn,Cypress Hills,-73.87661596457296,40.68239101144211
